央视频道,#genre#
湖北卫视,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wshubei
黑龙江卫视,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wsheilongjiang
河南卫视,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wshenan
河北卫视,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wshebei
东南卫视,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wsdongnan
天津卫视,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wstianjing
山东卫视,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wsshandong
江西卫视,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wsjiangxi
贵州卫视,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wsguizhou
海南卫视,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wshainan
重庆卫视,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wschongqing
四川卫视,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wssichuan
广西卫视,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wsguangxi
云南卫视,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wsyunnan
吉林卫视,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wsjilin
甘肃卫视,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wsgansu
青海卫视,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wsqinghai
内蒙古卫视,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wsneimenggu
新疆卫视,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wsxinjiang
陕西卫视,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wsshanxi
山西卫视,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wsshanxi1
宁夏卫视,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wsningxia
西藏卫视,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wsxizang
北京卫视,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wsbeijing
湖南卫视,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wshunan
江苏卫视,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wsjiangsu
浙江卫视,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wszhejiang
东方卫视,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wsdongfang
安徽卫视,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wsanhui
广东卫视,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wsguangdong
深圳卫视,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wsshenzhen
辽宁卫视,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wsliaoning
湖北卫视,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wshubei
黑龙江卫视,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wsheilongjiang
河南卫视,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wshenan
河北卫视,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wshebei
东南卫视,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wsdongnan
天津卫视,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wstianjing
山东卫视,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wsshandong
江西卫视,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wsjiangxi
贵州卫视,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wsguizhou
海南卫视,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wshainan
重庆卫视,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wschongqing
四川卫视,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wssichuan
广西卫视,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wsguangxi
云南卫视,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wsyunnan
吉林卫视,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wsjilin
甘肃卫视,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wsgansu
青海卫视,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wsqinghai
内蒙古卫视,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wsneimenggu
新疆卫视,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wsxinjiang
陕西卫视,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wsshanxi
山西卫视,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wsshanxi1
宁夏卫视,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wsningxia
西藏卫视,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wsxizang
重庆卫视,http://129.226.149.79:4785/html/V4back.php?/PLTV/&ip=0&access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=cqws
北京卫视,http://129.226.149.79:4785/html/V4back.php?/PLTV/&ip=0&access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=bjws
湖南卫视,http://129.226.149.79:4785/html/V4back.php?/PLTV/&ip=0&access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=hunan
江苏卫视,http://129.226.149.79:4785/html/V4back.php?/PLTV/&ip=0&access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=jsws
浙江卫视,http://129.226.149.79:4785/html/V4back.php?/PLTV/&ip=0&access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=zjws
东方卫视,http://129.226.149.79:4785/html/V4back.php?/PLTV/&ip=0&access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=dfws
安徽卫视,http://129.226.149.79:4785/html/V4back.php?/PLTV/&ip=0&access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=ahws
广东卫视,http://129.226.149.79:4785/html/V4back.php?/PLTV/&ip=0&access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=gdws
深圳卫视,http://129.226.149.79:4785/html/V4back.php?/PLTV/&ip=0&access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=szws
辽宁卫视,http://129.226.149.79:4785/html/V4back.php?/PLTV/&ip=0&access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=lnws
湖北卫视,http://129.226.149.79:4785/html/V4back.php?/PLTV/&ip=0&access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=hubei
黑龙江卫视,http://129.226.149.79:4785/html/V4back.php?/PLTV/&ip=0&access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=hljws
河南卫视,http://129.226.149.79:4785/html/V4back.php?/PLTV/&ip=0&access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=hnws
河北卫视,http://129.226.149.79:4785/html/V4back.php?/PLTV/&ip=0&access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=hbws
东南卫视,http://129.226.149.79:4785/html/V4back.php?/PLTV/&ip=0&access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=dnws
天津卫视,http://129.226.149.79:4785/html/V4back.php?/PLTV/&ip=0&access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=tjws
山东卫视,http://129.226.149.79:4785/html/V4back.php?/PLTV/&ip=0&access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=sdws
江西卫视,http://129.226.149.79:4785/html/V4back.php?/PLTV/&ip=0&access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=jxws
贵州卫视,http://129.226.149.79:4785/html/V4back.php?/PLTV/&ip=0&access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=gzws
海南卫视,http://129.226.149.79:4785/html/V4back.php?/PLTV/&ip=0&access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=hainan
四川卫视,http://129.226.149.79:4785/html/V4back.php?/PLTV/&ip=0&access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=scws
广西卫视,http://129.226.149.79:4785/html/V4back.php?/PLTV/&ip=0&access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=gxws
云南卫视,http://129.226.149.79:4785/html/V4back.php?/PLTV/&ip=0&access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=ynws
吉林卫视,http://129.226.149.79:4785/html/V4back.php?/PLTV/&ip=0&access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=jlws
甘肃卫视,http://129.226.149.79:4785/html/V4back.php?/PLTV/&ip=0&access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=gsws
青海卫视,http://129.226.149.79:4785/html/V4back.php?/PLTV/&ip=0&access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=qhws
内蒙古卫视,http://129.226.149.79:4785/html/V4back.php?/PLTV/&ip=0&access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=nmgws
新疆卫视,http://129.226.149.79:4785/html/V4back.php?/PLTV/&ip=0&access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=xjws
陕西卫视,http://129.226.149.79:4785/html/V4back.php?/PLTV/&ip=0&access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=sxws
山西卫视,http://129.226.149.79:4785/html/V4back.php?/PLTV/&ip=0&access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=shanxi
宁夏卫视,http://129.226.149.79:4785/html/V4back.php?/PLTV/&ip=0&access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=nxws
西藏卫视,http://129.226.149.79:4785/html/V4back.php?/PLTV/&ip=0&access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=xzws
星空卫视,http://129.226.149.79:4785/html/DFTV.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=xkws
大湾区卫视,http://129.226.149.79:4785/html/DFTV.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=gddwq
港台频道,#genre#
凤凰中文,https://aktv.top/AKTV/live/aktv/null-3/AKTV.m3u8
凤凰中文,http://129.226.149.79:4785/html/DFTV.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=hkfhws
凤凰中文,http://129.226.149.79:4785/html/DFTV.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=hkfhws1
凤凰资讯,http://129.226.149.79:4785/html/DFTV.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=hkfhzx
凤凰资讯,http://129.226.149.79:4785/html/DFTV.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=hkfhzx1
凤凰香港,http://129.226.149.79:4785/html/DFTV.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=hkfhxg
凤凰香港,http://129.226.149.79:4785/html/DFTV.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=hkfhxg1
翡翠台,http://129.226.149.79:4785/html/DFTV.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=hktvbfct
翡翠台,http://129.226.149.79:4785/html/DFTV.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=hktvbfct1
明珠台,http://129.226.149.79:4785/html/DFTV.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=hktvbmzt
明珠台,http://129.226.149.79:4785/html/DFTV.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=hktvbmzt1
地方频道,#genre#
电影黑匣子,https://stream1.freetv.fun/8a3a57bfcffb6e8938b79d94c808912b6573fbf6c031f9c025b2cef7feb64474.ctv
动漫推荐,https://stream1.freetv.fun/71ceafbf591c1e7b7c5cb23d8d3e275d4140b9f16d2d864206956ee7d0800d88.ctv
CHC影迷电影,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=chcgqdy
CHC影迷电影,https://stream1.freetv.fun/e19f53c2ac2bb7cbd8a9efd6fab6690900c57cd2c8b45b9c910538be57f714d1.m3u8
CHC动作电影,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=chcdzdy
CHC家庭影院,https://stream1.freetv.fun/4530af99822e82cc20d703812cbe49f98facdf419f9a2196f83bfb7943d6b4cd.m3u8
CHC家庭影院,https://stream1.freetv.fun/a7da6445c1e09b6c04a04e62f117d67ddf77fb51603d25e04b7e21b53445aef9.m3u8
CHC家庭影院,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=chcjtyy
CGTN,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=cgtn
CGTN纪录,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=cgtnjl
CGTN俄语,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=cgtney
CGTN法语,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=cgtnfy
CGTN西语,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=cgtnxy
CGTN阿语,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=cgtnay
重温经典,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=cwjd
无线新闻台,http://129.226.149.79:4785/html/DFTV.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=hktvbxw
财经体育资讯台,http://129.226.149.79:4785/html/DFTV.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=hktvbcj
CHANNEL[V],http://129.226.149.79:4785/html/DFTV.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=ChannelV
广东体育,http://129.226.149.79:4785/html/DFTV.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=gdty
广东体育,http://129.226.149.79:4785/html/DFTV.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=L01_gdty
珠江频道,http://129.226.149.79:4785/html/DFTV.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=gdzj
珠江频道,http://129.226.149.79:4785/html/DFTV.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=L01_gdzj
广东新闻,http://129.226.149.79:4785/html/DFTV.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=gdxw
广东科教,http://129.226.149.79:4785/html/DFTV.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=gdkj
广东影视,http://129.226.149.79:4785/html/DFTV.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=gdys
广东民生,http://129.226.149.79:4785/html/DFTV.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=gdms
广东少儿,http://129.226.149.79:4785/html/DFTV.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=gdse
嘉佳卡通,http://129.226.149.79:4785/html/DFTV.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=gdjjkt

备用央视IPV4,#genre#
重温经典,http://148.135.93.213:81/live.php?id=重温经典
CHC家庭影院,http://148.135.93.213:81/live.php?id=CHC家庭影院
CHC动作电影,http://148.135.93.213:81/live.php?id=CHC动作电影
CCTV1,http://148.135.93.213:81/live.php?id=CCTV1
CCTV2,http://148.135.93.213:81/live.php?id=CCTV2
CCTV3,http://148.135.93.213:81/live.php?id=CCTV3
CCTV4,http://148.135.93.213:81/live.php?id=CCTV4
CCTV5,http://148.135.93.213:81/live.php?id=CCTV5
CCTV5+,http://148.135.93.213:81/live.php?id=CCTV5p
CCTV6,http://148.135.93.213:81/live.php?id=CCTV6
CCTV7,http://148.135.93.213:81/live.php?id=CCTV7
CCTV8,http://148.135.93.213:81/live.php?id=CCTV8
CCTV9,http://148.135.93.213:81/live.php?id=CCTV9
CCTV10,http://148.135.93.213:81/live.php?id=CCTV10
CCTV11,http://148.135.93.213:81/live.php?id=CCTV11
CCTV12,http://148.135.93.213:81/live.php?id=CCTV12
CCTV13,http://148.135.93.213:81/live.php?id=CCTV13
CCTV14,http://148.135.93.213:81/live.php?id=CCTV14
CCTV15,http://148.135.93.213:81/live.php?id=CCTV15
CCTV16,http://148.135.93.213:81/live.php?id=CCTV16
CCTV17,http://148.135.93.213:81/live.php?id=CCTV17
CGTN英语,https://0472.org/hls/cgtn.m3u8
CGTN纪录,https://0472.org/hls/cgtnd.m3u8
CGTN西语,https://0472.org/hls/cgtnx.m3u8
CGTN法语,https://0472.org/hls/cgtnf.m3u8
CGTN阿语,https://0472.org/hls/cgtna.m3u8
CGTN俄语,https://0472.org/hls/cgtne.m3u8
备用卫视IPV4,#genre#
五星体育,http://148.135.93.213:81/live.php?id=五星体育
凤凰资讯,http://148.135.93.213:81/phenix.php?id=fhzx
凤凰中文,http://148.135.93.213:81/phenix.php?id=fhzw
凤凰香港,http://148.135.93.213:81/phenix.php?id=fhhk
北京卫视,http://148.135.93.213:81/live.php?id=北京卫视
湖南卫视,http://148.135.93.213:81/live.php?id=湖南卫视
浙江卫视,http://148.135.93.213:81/live.php?id=浙江卫视
江苏卫视,http://148.135.93.213:81/live.php?id=江苏卫视
陕西卫视,http://148.135.93.213:81/live.php?id=陕西卫视
湖北卫视,http://148.135.93.213:81/live.php?id=湖北卫视
内蒙古卫视,http://148.135.93.213:81/live.php?id=内蒙古卫视
江西卫视,http://148.135.93.213:81/live.php?id=江西卫视
广东卫视,http://148.135.93.213:81/live.php?id=广东卫视
东方卫视,http://148.135.93.213:81/live.php?id=东方卫视
东南卫视,http://148.135.93.213:81/live.php?id=东南卫视
吉林卫视,http://148.135.93.213:81/live.php?id=吉林卫视
四川卫视,http://148.135.93.213:81/live.php?id=四川卫视
天津卫视,http://148.135.93.213:81/live.php?id=天津卫视
安徽卫视,http://148.135.93.213:81/live.php?id=安徽卫视
山东卫视,http://148.135.93.213:81/live.php?id=山东卫视
山西卫视,http://148.135.93.213:81/live.php?id=山西卫视
广西卫视,http://148.135.93.213:81/live.php?id=广西卫视
河北卫视,http://148.135.93.213:81/live.php?id=河北卫视
河南卫视,http://148.135.93.213:81/live.php?id=河南卫视
深圳卫视,http://148.135.93.213:81/live.php?id=深圳卫视
甘肃卫视,http://148.135.93.213:81/live.php?id=甘肃卫视
贵州卫视,http://148.135.93.213:81/live.php?id=贵州卫视
辽宁卫视,http://148.135.93.213:81/live.php?id=辽宁卫视
重庆卫视,http://148.135.93.213:81/live.php?id=重庆卫视
黑龙江卫视,http://148.135.93.213:81/live.php?id=黑龙江卫视
海南卫视,http://148.135.93.213:81/live.php?id=海南卫视
大湾区卫视,http://148.135.93.213:81/live.php?id=大湾区卫视
西藏卫视,http://148.135.93.213:81/live.php?id=西藏卫视
